StagingRef,Discount Type Name (Lookup to discount type),Service Item Type staging ref
DT018-SI0363,DT018,SI0363
DT018-SI0364,DT018,SI0364
DT018-SI0365,DT018,SI0365
DT018-SI0366,DT018,SI0366
DT018-SI0368,DT018,SI0368
DT018-SI0369,DT018,SI0369
DT018-SI0371,DT018,SI0371
DT018-SI0373,DT018,SI0373
DT018-SI0378,DT018,SI0378
DT018-SI0379,DT018,SI0379
DT018-SI0374,DT018,SI0374
DT018-SI0376,DT018,SI0376
DT018-SI0380,DT018,SI0380
