Staging Ref,SPUT Staging Ref,Device Size Staging Ref,Number of Occupiers,Start Date,End Date,Average Daily Usage
HH-35-1,,35mm,1,01/04/2017,,0.19
HH-35-2,,35mm,2,01/04/2017,,0.28
HH-35-3,,35mm,3,01/04/2017,,0.41
HH-35-4,,35mm,4,01/04/2017,,0.55
HH-35-5,,35mm,5,01/04/2017,,0.69
HH-35-6,,35mm,6,01/04/2017,,0.82
HH-35-7,,35mm,7,01/04/2017,,0.95
HH-35-8,,35mm,8,01/04/2017,,1.08
HH-35-9,,35mm,9,01/04/2017,,1.21
HH-35-10,,35mm,10,01/04/2017,,1.34
HH-35-11,,35mm,11,01/04/2017,,1.47
HH-35-12,,35mm,12,01/04/2017,,1.6
HH-35-13,,35mm,13,01/04/2017,,1.73
HH-35-14,,35mm,14,01/04/2017,,1.86
HH-35-15,,35mm,15,01/04/2017,,1.99
NHH-35-BW,SPUT002,35mm,,01/04/2017,,3.5
NHH-35-SWW,SPUT004,35mm,,01/04/2017,,3.5
NHH-35-IOS,SPUT006,35mm,,01/04/2020,,3.5
NHH-35-WBT,SPUT008,35mm,,01/04/2022,,3.5
40-DEF,,40mm,,01/04/2017,,0.28
HH-40-1,,40mm,1,01/04/2017,,0.19
HH-40-2,,40mm,2,01/04/2017,,0.28
HH-40-3,,40mm,3,01/04/2017,,0.41
HH-40-4,,40mm,4,01/04/2017,,0.55
HH-40-5,,40mm,5,01/04/2017,,0.69
HH-40-6,,40mm,6,01/04/2017,,0.82
HH-40-7,,40mm,7,01/04/2017,,0.95
HH-40-8,,40mm,8,01/04/2017,,1.08
HH-40-9,,40mm,9,01/04/2017,,1.21
HH-40-10,,40mm,10,01/04/2017,,1.34
HH-40-11,,40mm,11,01/04/2017,,1.47
HH-40-12,,40mm,12,01/04/2017,,1.6
HH-40-13,,40mm,13,01/04/2017,,1.73
HH-40-14,,40mm,14,01/04/2017,,1.86
HH-40-15,,40mm,15,01/04/2017,,1.99
NHH-40-BW,SPUT002,40mm,,01/04/2017,,4
NHH-40-SWW,SPUT004,40mm,,01/04/2017,,4
NHH-40-IOS,SPUT006,40mm,,01/04/2020,,4
NHH-40-WBT,SPUT008,40mm,,01/04/2022,,4
50-DEF,,50mm,,01/04/2017,,0.28
HH-50-1,,50mm,1,01/04/2017,,0.19
HH-50-2,,50mm,2,01/04/2017,,0.28
HH-50-3,,50mm,3,01/04/2017,,0.41
HH-50-4,,50mm,4,01/04/2017,,0.55
HH-50-5,,50mm,5,01/04/2017,,0.69
HH-50-6,,50mm,6,01/04/2017,,0.82
HH-50-7,,50mm,7,01/04/2017,,0.95
HH-50-8,,50mm,8,01/04/2017,,1.08
HH-50-9,,50mm,9,01/04/2017,,1.21
HH-50-10,,50mm,10,01/04/2017,,1.34
HH-50-11,,50mm,11,01/04/2017,,1.47
HH-50-12,,50mm,12,01/04/2017,,1.6
HH-50-13,,50mm,13,01/04/2017,,1.73
HH-50-14,,50mm,14,01/04/2017,,1.86
HH-50-15,,50mm,15,01/04/2017,,1.99
NHH-50-BW,SPUT002,50mm,,01/04/2017,,5
NHH-50-SWW,SPUT004,50mm,,01/04/2017,,5
NHH-50-IOS,SPUT006,50mm,,01/04/2020,,5
NHH-50-WBT,SPUT008,50mm,,01/04/2022,,5
65-DEF,,65mm,,01/04/2017,,0.28
HH-65-1,,65mm,1,01/04/2017,,0.19
HH-65-2,,65mm,2,01/04/2017,,0.28
HH-65-3,,65mm,3,01/04/2017,,0.41
