Staging Ref,Work Order Settings Name,Appointment Required,Code,Code Status,Complaint,Cost Code,Description,External Link For Email,Job Group,Job Type,Management Settings,Mandatory days,Number Of Cases For Notification,Number of days,Priority,Search Settings,Search Type,Set Up Mailing,Users For Email Notification,WB Incident,Work Area,Group Code
,This does not exist in the SWW Aptumo version - ADO 52458,,,,,,,,,,,,,,,,,,,,,
